age_range,industry,job_title,annual_salary,"How much additional monetary compensation do you get, if any (for example, bonuses or overtime in an average year)? Please only include monetary compensation here, not the value of benefits.",currency,"If ""Other,"" please indicate the currency here: ",country,"If you're in the U.S., what state do you work in?",What city do you work in?,current_years_experience,How many years of professional work experience do you have in your field?,education,gender,What is your race? (Choose all that apply.)
25-34,Nonprofit,Director,72000,0.0,USD,,United States,Alaska,Juneau,8 - 10 years,2 - 4 years,Master's degree,Woman,White
35-44,Government,Other,92000,10000.0,USD,,United States,California,Los Angeles,11 - 20 years,11 - 20 years,Master's degree,Man,Asian or Asian American
35-44,Engineering/Manufacturing,Supervisor,102000,10200.0,USD,,United States,Connecticut,North Haven,11 - 20 years,5-7 years,Master's degree,Woman,White
18-24,Legal,Other,18500,0.0,GBP,,United Kingdom,,Prefer not to say,2 - 4 years,2 - 4 years,Some college,Woman,White
25-34,Government,Manager (General),35570,,USD,,United States,Georgia,Ball Ground,5-7 years,5-7 years,Some college,Woman,White
35-44,Insurance,Other,68850,0.0,USD,,United States,North Carolina,raleigh,11 - 20 years,11 - 20 years,Master's degree,Woman,White
45-54,Insurance,Director,103000,3000.0,USD,,United States,Kansas,Wichita,21 - 30 years,11 - 20 years,PhD,Woman,White
25-34,Government,Executive Assistant,61854,,USD,,United States,Massachusetts,Boston,8 - 10 years,8 - 10 years,High School,Woman,Asian or Asian American
35-44,Biotech,Other,92000,10000.0,USD,,United States,Maryland,Rockville,21 - 30 years,21 - 30 years,College degree,Woman,White
35-44,Insurance,Other,115000,30000.0,USD,,United States,Massachusetts,Boston,11 - 20 years,11 - 20 years,College degree,Man,White
35-44,Engineering/Manufacturing,Manager (General),131950,3000.0,USD,,United States,Michigan,Detroit,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Retail/Sales,Manager (General),81000,,USD,,United States,North Dakota,Fargo,8 - 10 years,11 - 20 years,College degree,Man,White
35-44,Education,Director,70000,0.0,USD,,United States,,Minneapolis,8 - 10 years,8 - 10 years,Master's degree,Woman,White
35-44,Government,Other,61000,100.0,USD,,United States,Maryland,Baltimore,11 - 20 years,5-7 years,College degree,Woman,White
25-34,Information Technology,Software Engineer,122000,80000.0,USD,,United States,Colorado,Denver,8 - 10 years,5-7 years,College degree,Woman,White
35-44,Government,Director,13300,0.0,USD,,United States,Colorado,Denver,11 - 20 years,11 - 20 years,Not Specified,Woman,White
25-34,Information Technology,QA/Test Engineer,37000,0.0,GBP,,United Kingdom,,WFH,8 - 10 years,2 - 4 years,College degree,Woman,White
35-44,Hospitality,Manager (General),86000,0.0,USD,,United States,Louisiana,New Orleans,21 - 30 years,11 - 20 years,College degree,Woman,White
25-34,Marketing,Other,58762,,USD,,United States,Illinois,Chicago,5-7 years,5-7 years,College degree,Woman,White
25-34,Real Estate,Other,105000,10000.0,USD,,United States,Illinois,Champaign,8 - 10 years,8 - 10 years,College degree,Man,White
25-34,Marketing,Graphic Designer,75000,0.0,USD,,United States,Oregon,Portland,8 - 10 years,8 - 10 years,College degree,Woman,White
45-54,Marketing,Director,100000,18000.0,USD,,United States,California,Los Angeles,21 - 30 years,11 - 20 years,Master's degree,Woman,White
45-54,Finance,Accountant,70200,,USD,,United States,Illinois,Elgin,21 - 30 years,11 - 20 years,College degree,Woman,White
25-34,Real Estate,VP/Senior Leadership,80000,,USD,,United States,California,San Diego ,5-7 years,2 - 4 years,College degree,Woman,White
35-44,Hospitality,Director,56000,,USD,,United States,Arizona,Tucson,21 - 30 years,11 - 20 years,College degree,Woman,White
35-44,Finance,Bookkeeper,62500,6500.0,USD,,United States,Washington,seattle,11 - 20 years,5-7 years,Some college,Woman,White
25-34,Finance,Financial Analyst,62000,0.0,USD,,United States,Michigan,Metro Detroit area,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Nonprofit,Project Manager,80000,0.0,USD,,United States,Massachusetts,Boston ,11 - 20 years,8 - 10 years,Master's degree,Woman,White
25-34,Nonprofit,Data Scientist/Analyst,90000,0.0,USD,,United States,California,San Francisco,8 - 10 years,8 - 10 years,College degree,Woman,"Native American or Alaska Native, White"
35-44,Arts/Design,Director,112500,4000.0,USD,,United States,New York,New York,11 - 20 years,8 - 10 years,Master's degree,Woman,White
25-34,Education,Director,64000,,USD,,United States,California,Los Angeles,5-7 years,5-7 years,College degree,Woman,White
25-34,Legal,Other,95000,25000.0,CAD,,Canada,,Vancouver ,2 - 4 years,2 - 4 years,Master's degree,Non-binary,Asian or Asian American
35-44,Other,Other,140000,7000.0,USD,,United States,New York,New York City,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
45-54,Education,VP/Senior Leadership,155000,,CAD,,Canada,,Greater Toronto Area,21 - 30 years,21 - 30 years,PhD,Woman,White
35-44,Engineering/Manufacturing,Engineer (Non-software),120000,25000.0,USD,,United States,Minnesota,Minneapolis/St Paul,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Legal,Other,70019,0.0,USD,,United States,New York,New York,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Insurance,Other,67250,6000.0,USD,,United States,Connecticut,Hartford,21 - 30 years,21 - 30 years,College degree,Woman,White
45-54,Education,Other,80145,0.0,USD,,United States,Delaware,Newark,21 - 30 years,21 - 30 years,PhD,Woman,White
35-44,Finance,Accountant,76500,10000.0,USD,,United States,Virginia,Richmond,11 - 20 years,8 - 10 years,College degree,Woman,White
45-54,Marketing,Supervisor,135000,0.0,USD,,United States,New Jersey,Parsippany,11 - 20 years,11 - 20 years,College degree,Woman,White
45-54,Engineering/Manufacturing,Coordinator,65000,,USD,,United States,Washington,Seattle ,21 - 30 years,11 - 20 years,College degree,Woman,"Asian or Asian American, White"
25-34,Nonprofit,Other,60000,,CAD,,Canada,,Vancouver,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Transportation,Accountant,86000,8600.0,USD,,United States,Virginia,fairfax,11 - 20 years,8 - 10 years,College degree,Woman,White
25-34,Marketing,Project Manager,75000,5000.0,USD,,United States,Pennsylvania,Philadelphia,8 - 10 years,8 - 10 years,Master's degree,Woman,White
25-34,Education,Teacher,61500,,CAD,,Canada,,"Guelph, Ontario",2 - 4 years,2 - 4 years,College degree,Man,White
55-64,Government,Other,130800,7500.0,USD,,United States,Alaska,Anchoragr,21 - 30 years,21 - 30 years,Some college,Woman,White
55-64,Finance,Executive Assistant,125000,2000.0,USD,,United States,New York,New York,31 - 40 years,21 - 30 years,College degree,Woman,White
25-34,Retail/Sales,Coordinator,44200,50.0,USD,,United States,California,Beverly Hills,8 - 10 years,5-7 years,College degree,Woman,White
35-44,Other,Customer Service,47500,5200.0,USD,,United States,Wisconsin,New Berlin,11 - 20 years,8 - 10 years,College degree,Woman,White
55-64,Education,VP/Senior Leadership,155000,0.0,USD,,United States,New York,Upstate region,31 - 40 years,21 - 30 years,Master's degree,Woman,White
25-34,Other,Other,60500,,USD,,United States,Pennsylvania,Remote - Lansdale,11 - 20 years,2 - 4 years,College degree,Woman,White
55-64,Health,Other,100796,0.0,USD,,United States,California,San Luis Obispo,41 years or more,41 years or more,College degree,Woman,White
25-34,Information Technology,Analyst (General),62500,,USD,,United States,New York,NYC,5-7 years,2 - 4 years,College degree,Woman,White
25-34,Education,Professor/Faculty,23750,0.0,GBP,,United Kingdom,,Leeds,11 - 20 years,11 - 20 years,Master's degree,Non-binary,White
55-64,Energy,Consultant,250000,0.0,USD,,United States,Washington,Kent,41 years or more,11 - 20 years,Some college,Woman,White
45-54,Business/Consulting,Other,68000,0.0,GBP,,United Kingdom,,London,21 - 30 years,11 - 20 years,College degree,Woman,White
55-64,Education,Teacher,40000,0.0,GBP,,United Kingdom,,SOUTHEND-ON-SEA,31 - 40 years,31 - 40 years,College degree,Woman,White
45-54,Nonprofit,Other,52000,,USD,,United States,California,Sacramento,21 - 30 years,8 - 10 years,Master's degree,Woman,White
25-34,Business/Consulting,Consultant,52000,4000.0,EUR,,Ireland,,Dublin,5-7 years,5-7 years,College degree,Woman,White
25-34,Arts/Design,Other,49000,0.0,USD,,United States,New York,NYC,2 - 4 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Finance,Manager (General),97000,15000.0,USD,,United States,Florida,Orlando,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Business/Consulting,Other,94120,,USD,,United States,Oregon,Portland ,8 - 10 years,8 - 10 years,College degree,Woman,White
45-54,Information Technology,Data Scientist/Analyst,66000,5000.0,USD,,United States,Indiana,Indianapolis,21 - 30 years,21 - 30 years,Master's degree,Woman,White
18-24,Nonprofit,Other,40200,,USD,,United States,North Carolina,Raleigh,5-7 years,2 - 4 years,College degree,Woman,White
35-44,Information Technology,Other,106000,,USD,,United States,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Legal,Other,70000,8000.0,USD,,United States,Florida,Tampa,11 - 20 years,8 - 10 years,Master's degree,Woman,White
35-44,Education,IT/Systems,65000,,USD,,United States,Illinois,Chicago,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Information Technology,Software Engineer,95000,0.0,USD,,United States,Maryland,remote,5-7 years,2 - 4 years,Master's degree,Woman,Black or African American
35-44,Health,Other,185000,10000.0,USD,,United States,Michigan,Detroit,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
55-64,Nonprofit,Director,59500,,USD,,United States,Massachusetts,Cambridge ,31 - 40 years,21 - 30 years,College degree,Woman,White
25-34,Education,Other,41600,,USD,,United States,Oregon,Portland,8 - 10 years,2 - 4 years,Master's degree,Woman,White
25-34,Engineering/Manufacturing,Engineer (Non-software),87200,2000.0,USD,,United States,Illinois,Saint Charles,8 - 10 years,8 - 10 years,College degree,Woman,White
35-44,Government,Director,114400,0.0,USD,,United States,Utah,Salt Lake City,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Man,White
25-34,Nonprofit,Project Manager,55000,350.0,USD,,United States,Maine,Portland ,8 - 10 years,5-7 years,College degree,Woman,White
35-44,Finance,Project Manager,120000,12000.0,USD,,United States,Florida,Orlando,11 - 20 years,8 - 10 years,College degree,Man,White
25-34,Insurance,Manager (General),120000,17000.0,USD,,United States,Connecticut,Hartford,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Education,Teacher,33000,0.0,USD,,United States,Massachusetts,Watertown,8 - 10 years,2 - 4 years,Master's degree,Woman,White
45-54,Other,Other,103000,0.0,USD,,United States,Colorado,Boulder,11 - 20 years,11 - 20 years,PhD,Man,White
25-34,Arts/Design,Other,63000,3000.0,USD,,United States,District of Columbia,"Washington, D.C.",2 - 4 years,2 - 4 years,Master's degree,Woman,White
45-54,Insurance,Executive Assistant,66500,6000.0,USD,,United States,Pennsylvania,Philadelphia,21 - 30 years,11 - 20 years,College degree,Man,White
35-44,Information Technology,Consultant,81600,3000.0,USD,,United States,Louisiana,Baton Rouge,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Media/Entertainment,Product Manager,127000,,USD,,United States,New York,New York City,5-7 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
35-44,Finance,Manager (General),58000,0.0,USD,,United States,Minnesota,Remote,8 - 10 years,5-7 years,College degree,Woman,White
25-34,Retail/Sales,Other,110000,10000.0,USD,,United States,New York,New York,5-7 years,5-7 years,College degree,Woman,Asian or Asian American
18-24,Other,Other,38784,0.0,USD,,United States,Washington,Seattle,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Education,Other,42000,0.0,USD,,United States,Michigan,Ann Arbor,5-7 years,5-7 years,College degree,Woman,White
25-34,Information Technology,Engineer (Non-software),48000,1000.0,USD,,United States,Wisconsin,Madison,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Legal,Other,42000,,USD,,United States,Massachusetts,Boston,5-7 years,5-7 years,Some college,Woman,White
25-34,Government,Financial Analyst,110000,4000.0,USD,,United States,District of Columbia,DC,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Nonprofit,Coordinator,64260,,USD,,United States,New York,NYC,5-7 years,5-7 years,College degree,Woman,White
35-44,Other,Director,84000,,USD,,United States,Wisconsin,Milwaukee,11 - 20 years,11 - 20 years,Master's degree,Woman,White
55-64,Education,IT/Systems,51500,0.0,USD,,United States,Illinois,rural college community,21 - 30 years,21 - 30 years,Some college,Woman,Another option not listed here or prefer not to answer
35-44,Media/Entertainment,Writer/Editor,56000,1000.0,USD,,United States,District of Columbia,"Washington, DC",11 - 20 years,8 - 10 years,Master's degree,Woman,White
35-44,Government,Consultant,66000,0.0,USD,,United States,Wisconsin,Fennimore,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Health,Writer/Editor,91000,9100.0,USD,,United States,Pennsylvania,Pittsburgh,11 - 20 years,5-7 years,College degree,Man,White
35-44,Information Technology,Data Scientist/Analyst,211000,109000.0,USD,,United States,California,San Francisco,11 - 20 years,8 - 10 years,Master's degree,Woman,White
45-54,Engineering/Manufacturing,Engineer (Non-software),91000,2000.0,CAD,,Canada,,"Toronto, ontario",21 - 30 years,21 - 30 years,College degree,Woman,Asian or Asian American
25-34,Health,Manager (General),33280,,USD,,United States,Colorado,Boulder,5-7 years,2 - 4 years,College degree,Woman,White
25-34,Insurance,Other,39000,2500.0,EUR,,Ireland,,Dublin,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Nonprofit,Manager (General),77000,2000.0,USD,,United States,District of Columbia,"Washington, DC",5-7 years,2 - 4 years,College degree,Woman,White
25-34,Education,Other,62000,,CAD,,Canada,,Kamloops,5-7 years,5-7 years,College degree,Woman,White
25-34,Retail/Sales,Manager (General),150000,15000.0,USD,,United States,New York,New York,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Marketing,Content/Copywriter,50500,,USD,,United States,Virginia,Richmond,2 - 4 years,2 - 4 years,College degree,Woman,White
35-44,Engineering/Manufacturing,Engineer (Non-software),124800,,USD,,United States,"New Jersey, Pennsylvania",Hawley,21 - 30 years,21 - 30 years,College degree,Woman,White
55-64,Insurance,Customer Service,34000,0.0,USD,,United States,Montana,Libby ,21 - 30 years,11 - 20 years,High School,Woman,White
35-44,Engineering/Manufacturing,Engineer (Non-software),83000,,USD,,United States,Illinois,Peoria,11 - 20 years,8 - 10 years,College degree,Non-binary,White
25-34,Other,Other,65000,1000.0,USD,,United States,New York,Bronx,8 - 10 years,8 - 10 years,Master's degree,Woman,White
45-54,Information Technology,Other,132000,7500.0,USD,,United States,New Mexico,Rio Rancho,21 - 30 years,21 - 30 years,College degree,Woman,White
35-44,Hospitality,Other,30264,18000.0,USD,,United States,Texas,Dallas,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Media/Entertainment,Coordinator,45281,1200.0,USD,,United States,Minnesota,Minneapolis,5-7 years,5-7 years,College degree,Woman,"Black or African American, White"
35-44,Agriculture,Accountant,53000,0.0,USD,,United States,Iowa,Rural Iowa,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Marketing,Marketing Manager,50000,6000.0,USD,,United States,North Carolina,Winston-Salem,5-7 years,2 - 4 years,College degree,Woman,White
55-64,Information Technology,Software Engineer,141900,0.0,USD,,United States,Oregon,Portland,31 - 40 years,21 - 30 years,Master's degree,Man,White
25-34,Finance,Analyst (General),105000,25000.0,USD,,United States,Connecticut,Hartford,11 - 20 years,11 - 20 years,College degree,Man,White
45-54,Transportation,Consultant,142000,5000.0,USD,,United States,Oregon,"Portland, OR",11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Marketing,Writer/Editor,55000,,CAD,,Canada,,Toronto,5-7 years,5-7 years,College degree,Woman,White
35-44,Legal,Other,90000,12000.0,USD,,United States,New York,New York City,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Government,Auditor,82344,0.0,USD,,United States,Washington,Olympia,11 - 20 years,8 - 10 years,College degree,Man,White
25-34,Other,Analyst (General),82000,15000.0,USD,,United States,California,San Francisco,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Media/Entertainment,Director,150000,,USD,,United States,New York,New York,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Nonprofit,Other,78000,2000.0,USD,,United States,Ohio,Cleveland,11 - 20 years,8 - 10 years,College degree,Woman,White
